state,abbreviation,adjusted_pay_2018,Actual_pay_2020,actual_pay_2018,strike2018_2019,population2018,percent_union2018,log_pop,division,div_name,pct_white_2012,SatScore,SatReading,SatMath,clinton_votes_2016,pct_clinton_2016,clinton_electoral_2016,trump_votes_2016,pct_trump_2016,trump_electoral_2016,biden_votes_2020,pct_biden_2020,biden_electoral_2020,trump_votes_2020,pct_trump_2020,trump_electoral_2020,vax_rate,urban_2020,GINI_2019,pct_religious,pct_hs_diploma,pct_bach_deg,pct_advanced_deg,viol_crime_per_100k,alcohol_deaths_100k,drug_overdose_per_100k,suicides_per_100k
New Jersey,NJ,61030,76376,69330,0,8908520,16.2,6.949805559,2,Mid-Atlantic,0.579,1056,530,526,2148278,55.45,14,1601933,41.35,0,2608335,0.5733,14,1883274,0.414,0,0.6176,0.938,0.4782,0.79,0.9098,0.431,0.174,202.9,33.7654290,31.6,7.7
New Mexico,NM,49750,54256,47163,0,2095428,8.2,6.321272743,8,Mountain,0.397,1138,557,561,385234,48.26,5,319667,40.04,0,501614,0.5429,5,401894,0.435,0,0.5866,0.745,0.4768,0.72,0.8748,0.3005,0.1408,780.5,75.4499797,50.3,24.7
New York,NY,58004,87543,77957,0,19542209,24.1,7.290973654,2,Mid-Atlantic,0.574,1052,528,523,4556124,59.01,29,2819534,36.52,0,5230985,0.6086,29,3244798,0.3775,0,0.5703,0.874,0.5149,0.79,0.8803,0.409,0.1772,429.3,34.2898799,31.4,8.5
North Carolina,NC,52500,54682,47985,1,10383620,4,7.016348786,5,South_Atlantic,0.645,1081,546,535,2189316,46.17,0,2362631,49.83,15,2684292,0.4859,0,2758775,0.4993,15,0.4394,0.667,0.4743,0.8,0.897,0.3491,0.1319,405.1,42.8752208,41.8,14.4
North Dakota,ND,52825,52328,50237,0,760077,6.7,5.880857591,4,West_North_Central,0.881,1256,635,621,93758,27.23,0,216794,62.96,3,114902,0.3176,0,235595,0.6511,3,0.4265,0.61,0.4558,0.78,0.9362,0.3174,0.0938,279.6,45.6532693,19.8,22.5
Ohio,OH,63740,59713,56410,0,11689442,14.3,7.06779378,3,East_North_Central,0.806,1149,578,570,2394164,43.56,0,2841005,51.69,18,2679165,0.4524,0,3154834,0.5327,18,0.4665,0.763,0.4651,0.81,0.9174,0.3072,0.1179,293.6,49.0955856,45.6,15
Oklahoma,OK,51515,54038,44921,1,3943079,7.4,6.595835478,7,West-South_Central,0.678,1047,530,517,420375,28.93,0,949136,65.32,7,503890,0.3229,0,1020280,0.6537,7,0.4206,0.646,0.4739,0.68,0.8871,0.2792,0.0962,419.7,53.3593164,30.7,21.4
Oregon,OR,58145,67685,60064,0,4190713,14.7,6.622287919,9,Pacific,0.776,1108,560,548,1002106,50.07,7,782403,39.09,0,1340383,0.5645,7,958448,0.4037,0,0.5609,0.805,0.45,0.78,0.9187,0.3633,0.1388,342.4,52.1629613,31.1,19.3
Pennsylvania,PA,63717,70258,64991,0,12807060,13.4,7.107449444,2,Mid-Atlantic,0.786,1071,540,531,2926441,47.46,0,2970733,48.18,20,3458229,0.5001,20,3377674,0.4884,0,0.5984,0.765,0.4745,NA,0.9589,0.3654,0.1694,279.9,44.5301264,40.9,14.2
Puerto Rico,PR,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.919,0.5509,0.79,0.7965,0.2848,0.0793,NA,NA,NA,NA
Rhode Island,RI,57264,67323,66197,0,1057315,18.5,6.024204394,1,New_England,0.754,1062,539,524,252525,54.41,4,180543,38.9,0,307486,0.5939,4,199922,0.3861,0,0.6213,0.911,0.4628,0.8,0.8914,0.365,0.1561,172.3,46.6275424,38.1,10.6
South Carolina,SC,52878,51485,48542,1,5084127,3.6,6.706216391,5,South_Atlantic,0.639,1064,543,521,855373,40.67,0,1155389,54.94,9,1091541,0.4343,0,1385103,0.5511,9,0.4168,0.679,0.4747,0.82,0.8961,0.3153,0.1195,491.3,50.8641897,44.7,15.4
South Dakota,SD,45679,49220,42025,0,882235,7.1,5.945584283,4,West_North_Central,0.838,1216,612,603,117458,31.74,0,227721,61.53,3,150471,0.3561,0,261043,0.6177,3,0.4878,0.572,0.436,0.85,0.9305,0.3167,0.1011,377.4,52.4803482,11.3,21.6
Tennessee,TN,56180,51862,48708,1,6770010,6.4,6.83058931,6,East_South_Central,0.75,1228,623,604,870695,34.72,0,1522925,60.72,11,1143711,0.3745,0,1852475,0.6066,11,0.3972,0.662,0.4749,0.82,0.8974,0.3048,0.1128,621.6,49.6158794,56,16.7
Texas,TX,56137,57091,51758,0,28701845,5.4,7.457909815,7,West-South_Central,0.443,1020,513,507,3877868,43.24,0,4685047,52.23,36,5259126,0.4648,0,5890347,0.5206,38,0.453,0.837,0.4753,0.77,0.8539,0.3312,0.119,431.9,37.0951763,18.2,14.4
Utah,UT,49668,52819,46042,0,3161105,5.7,6.499838922,8,Mountain,0.798,1238,624,614,310676,27.46,0,515231,45.54,6,560282,0.3765,0,865140,0.5813,6,0.4603,0.898,0.4268,0.61,0.9317,0.3681,0.1269,241.8,28.5659603,19.8,22.1
Vermont,VT,52356,61108,58901,0,626299,11.6,5.796781718,1,New_England,0.94,1114,562,551,178573,56.68,3,95369,30.27,0,242820,0.6609,3,112704,0.3067,0,0.7168,0.351,0.4471,0.8,0.9455,0.4444,0.1842,221.9,53.0098244,45.9,18
Virginia,VA,52191,53933,50834,1,8517685,5.5,6.930321575,5,South_Atlantic,0.639,1102,561,541,1981473,49.73,13,1769443,44.41,0,2413568,0.5411,13,1962430,0.44,0,0.5649,0.756,0.469,0.67,0.9138,0.4181,0.1833,234,36.0543974,28.8,13.3
Washington,WA,50664,72965,52539,0,7535591,20.5,6.877117319,9,Pacific,0.714,1075,541,534,1742718,52.54,8,1221747,36.83,0,2369612,0.5797,12,1584651,0.3877,0,0.5812,0.834,0.4577,0.74,0.9235,0.4097,0.1513,375.6,42.2528240,33.7,14.9
West Virginia,WV,51199,50238,45977,1,1805832,10.8,6.256677345,5,South_Atlantic,0.928,1086,558,528,188794,26.43,0,489371,68.5,5,235984,0.2969,0,545382,0.6862,5,0.4137,0.446,0.4644,0.81,0.8882,0.2412,0.0994,277.9,57.4250539,80.9,18.3
Wisconsin,WI,58825,59176,54766,0,5813568,8.6,6.764442757,3,East_North_Central,0.828,1291,642,649,1382536,46.45,0,1405284,47.22,10,1630866,0.4945,10,1610184,0.4882,0,0.519,0.671,0.4391,0.75,0.9333,0.3254,0.1104,297,45.6002235,31.8,15.1
Wyoming,WY,59425,59014,57761,0,577737,7.7,5.761730182,8,Mountain,0.846,1230,626,604,55973,21.63,0,174419,67.4,3,73491,0.2655,0,193559,0.6994,3,0.3778,0.62,0.4345,0.74,0.9359,0.2924,0.1072,201.9,60.0619313,21.9,25.6
